layer_name,accuracy_drop,rank
features.1.conv.0.0,11.9,1
features.1.conv.1,0.9,2
features.14.conv.2,0.84,3
features.3.conv.1.0,0.72,4
features.0.0,0.69,5
features.11.conv.2,0.55,6
features.13.conv.2,0.53,7
features.7.conv.2,0.51,8
features.11.conv.1.0,0.41,9
features.12.conv.2,0.41,10
features.6.conv.1.0,0.39,11
features.4.conv.2,0.38,12
features.5.conv.1.0,0.35,13
features.3.conv.2,0.33,14
features.8.conv.2,0.32,15
features.15.conv.2,0.29,16
features.17.conv.2,0.25,17
features.6.conv.2,0.21,18
features.2.conv.2,0.2,19
features.10.conv.2,0.2,20
features.4.conv.0.0,0.18,21
features.2.conv.1.0,0.17,22
features.4.conv.1.0,0.17,23
features.10.conv.1.0,0.17,24
features.14.conv.0.0,0.16,25
features.15.conv.0.0,0.16,26
features.16.conv.2,0.15,27
features.12.conv.1.0,0.15,28
features.5.conv.2,0.14,29
features.9.conv.1.0,0.14,30
features.11.conv.0.0,0.12,31
features.12.conv.0.0,0.12,32
features.16.conv.0.0,0.12,33
features.17.conv.0.0,0.11,34
features.6.conv.0.0,0.1,35
features.16.conv.1.0,0.1,36
features.13.conv.0.0,0.08,37
features.8.conv.1.0,0.07,38
features.15.conv.1.0,0.06,39
features.17.conv.1.0,0.06,40
features.9.conv.2,0.06,41
features.10.conv.0.0,0.05,42
classifier.1,0.05,43
features.8.conv.0.0,0.04,44
features.13.conv.1.0,0.04,45
features.7.conv.1.0,0.03,46
features.3.conv.0.0,0.02,47
features.18.0,0.01,48
features.14.conv.1.0,0.0,49
features.2.conv.0.0,-0.02,50
features.7.conv.0.0,-0.06,51
features.9.conv.0.0,-0.06,52
features.5.conv.0.0,-0.07,53
